polarity,actual_label,openai_o3_neutral,openai_o3_veracity,openai_o3_base_rate,openai_o4-mini_neutral,openai_o4-mini_veracity,openai_o4-mini_base_rate,claude_neutral,claude_veracity,claude_base_rate
positive,truthful,truthful,truthful,truthful,deceptive,truthful,truthful,deceptive,deceptive,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,truthful,truthful,truthful
positive,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,deceptive,truthful,truthful,truthful,deceptive,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,deceptive,truthful
positive,truthful,deceptive,deceptive,deceptive,deceptive,deceptive,deceptive,truthful,deceptive,deceptive
positive,truthful,truthful,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,truthful,deceptive,deceptive,deceptive,truthful,truthful,deceptive,truthful,deceptive,truthful
positive,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,deceptive,deceptive,truthful,deceptive,truthful,deceptive,deceptive,deceptive
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,truthful
positive,truthful,truthful,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,truthful,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,deceptive,deceptive,truthful,truthful,deceptive,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,truthful,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,deceptive,truthful
positive,truthful,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,deceptive,deceptive,"I’m sorry, but I can’t determine that.",truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,truthful
positive,truthful,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,deceptive,truthful,truthful,truthful,truthful,truthful,deceptive,truthful
positive,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,deceptive,deceptive,deceptive,truthful,truthful,truthful,truthful,deceptive,deceptive
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful,truthful
positive,truthful,truthful,truthful,deceptive,truthful,truthful,truthful,truthful,truthful,truthful
